locA	locB	share border	is international
SanPedro	Montserrado	0	1
SanPedro	Nimba	0	1
SanPedro	RiverCess	0	1
SanPedro	RiverGee	1	1
SanPedro	Sinoe	0	1
SanPedro	Boffa	0	1
SanPedro	Boke	0	1
SanPedro	Fria	0	1
SanPedro	Gaoual	0	1
SanPedro	Koundara	0	1
SanPedro	Conakry	0	1
SanPedro	Dabola	0	1
SanPedro	Dinguiraye	0	1
SanPedro	Faranah	0	1
SanPedro	Kissidougou	0	1
SanPedro	Kerouane	0	1
SanPedro	Kankan	0	1
SanPedro	Kouroussa	0	1
SanPedro	Mandiana	0	1
SanPedro	Siguiri	0	1
SanPedro	Coyah	0	1
SanPedro	Dubreka	0	1
SanPedro	Forecariah	0	1
SanPedro	Kindia	0	1
SanPedro	Telimele	0	1
SanPedro	Koubia	0	1
SanPedro	Lelouma	0	1
SanPedro	Labe	0	1
SanPedro	Mali	0	1
SanPedro	Tougue	0	1
SanPedro	Dalaba	0	1
SanPedro	Mamou	0	1
SanPedro	Pita	0	1
SanPedro	Beyla	0	1
SanPedro	Gueckedou	0	1
SanPedro	Lola	0	1
SanPedro	Macenta	0	1
SanPedro	Nzerekore	0	1
SanPedro	Yamou	0	1
SanPedro	Kailahun	0	1
SanPedro	Kenema	0	1
SanPedro	Kono	0	1
SanPedro	Bombali	0	1
SanPedro	Kambia	0	1
SanPedro	Koinadugu	0	1
SanPedro	PortLoko	0	1
SanPedro	Tonkolili	0	1
SanPedro	Bo	0	1
SanPedro	Bonthe	0	1
SanPedro	Moyamba	0	1
SanPedro	Pujehun	0	1
SanPedro	WesternRural	0	1
SanPedro	WesternUrban	0	1
SanPedro	Gabu	0	1
SanPedro	Tombali	0	1
Folon	Kabadougou	1	0
Folon	Cavally	0	0
Folon	Tonkpi	0	0
Folon	Bafing	0	0
Folon	Bomi	0	1
Folon	Bong	0	1
Folon	Gbarpolu	0	1
Folon	GrandCapeMount	0	1
Folon	GrandBassa	0	1
Folon	GrandGedeh	0	1
Folon	GrandKru	0	1
Folon	Lofa	0	1
Folon	Margibi	0	1
Folon	Maryland	0	1
Folon	Montserrado	0	1
Folon	Nimba	0	1
Folon	RiverCess	0	1
Folon	RiverGee	0	1
Folon	Sinoe	0	1
Folon	Boffa	0	1
Folon	Boke	0	1
Folon	Fria	0	1
Folon	Gaoual	0	1
Folon	Koundara	0	1
Folon	Conakry	0	1
Folon	Dabola	0	1
Folon	Dinguiraye	0	1
Folon	Faranah	0	1
Folon	Kissidougou	0	1
Folon	Kerouane	0	1
Folon	Kankan	1	1
Folon	Kouroussa	0	1
Folon	Mandiana	1	1
Folon	Siguiri	0	1
Folon	Coyah	0	1
Folon	Dubreka	0	1
Folon	Forecariah	0	1
Folon	Kindia	0	1
Folon	Telimele	0	1
Folon	Koubia	0	1
Folon	Lelouma	0	1
Folon	Labe	0	1
Folon	Mali	0	1
Folon	Tougue	0	1
Folon	Dalaba	0	1
Folon	Mamou	0	1
Folon	Pita	0	1
Folon	Beyla	0	1
Folon	Gueckedou	0	1
Folon	Lola	0	1
Folon	Macenta	0	1
Folon	Nzerekore	0	1
Folon	Yamou	0	1
Folon	Kailahun	0	1
Folon	Kenema	0	1
Folon	Kono	0	1
Folon	Bombali	0	1
Folon	Kambia	0	1
Folon	Koinadugu	0	1
Folon	PortLoko	0	1
Folon	Tonkolili	0	1
Folon	Bo	0	1
Folon	Bonthe	0	1
Folon	Moyamba	0	1
Folon	Pujehun	0	1
Folon	WesternRural	0	1
Folon	WesternUrban	0	1
Folon	Gabu	0	1
Folon	Tombali	0	1
Kabadougou	Cavally	0	0
Kabadougou	Tonkpi	0	0
Kabadougou	Bafing	1	0
Kabadougou	Bomi	0	1
Kabadougou	Bong	0	1
Kabadougou	Gbarpolu	0	1
Kabadougou	GrandCapeMount	0	1
Kabadougou	GrandBassa	0	1
Kabadougou	GrandGedeh	0	1
Kabadougou	GrandKru	0	1
Kabadougou	Lofa	0	1
Kabadougou	Margibi	0	1
Kabadougou	Maryland	0	1
Kabadougou	Montserrado	0	1
Kabadougou	Nimba	0	1
Kabadougou	RiverCess	0	1
Kabadougou	RiverGee	0	1
Kabadougou	Sinoe	0	1
Kabadougou	Boffa	0	1
Kabadougou	Boke	0	1
Kabadougou	Fria	0	1
Kabadougou	Gaoual	0	1
Kabadougou	Koundara	0	1
Kabadougou	Conakry	0	1
Kabadougou	Dabola	0	1
Kabadougou	Dinguiraye	0	1
Kabadougou	Faranah	0	1
Kabadougou	Kissidougou	0	1
Kabadougou	Kerouane	0	1
